srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313837.780577,1777313837.780577,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,11,1
0.0,57691,0.0,443,tcp,RST,1e-06,54,0,128,0,0,0,https,54000000.0,0.0,1,0,0,0,2825144433,0,54.0,0.0,0,0,0.0,0.0,1777313839.039623,1777313839.039623,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,139,2,2,335,139,1,2
0.0,57685,0.0,443,tcp,ACC,45.022883892059326,110,0,128,0,0,0,https,2.443202000647512,0.0,2,0,517,0,1093690812,0,55.0,0.0,0,0,0.0,0.0,1777313839.938653,1777313884.961537,45.022883892059326,0.0,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,138,0.0,138,udp,INT,1e-06,243,0,128,0,0,0,other,243000000.0,0.0,1,0,0,0,0,0,243.0,0.0,0,0,0.0,0.0,1777313840.136841,1777313840.136841,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,3,1
0.0,54881,0.0,443,tcp,ACC,0.07664084434509277,55,66,128,111,0,0,https,717.6330123967585,861.1596148761101,1,1,513,6760,634395236,2387696688,55.0,66.0,0,0,0.0,0.0,1777313840.269884,1777313840.346525,0.0,0.0,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,137,0.0,137,udp,INT,1e-06,110,0,64,0,0,0,other,110000000.0,0.0,1,0,0,0,0,0,110.0,0.0,0,0,0.0,0.0,1777313843.310381,1777313843.310381,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,1,5,5,1,1,2,1
0.0,52883,0.0,53,udp,INT,0.10113692283630371,74,104,128,124,0,0,dns,731.6813476693721,1028.3089210488474,1,1,0,0,0,0,74.0,104.0,0,0,0.0,0.0,1777313843.956964,1777313844.058101,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,185,185,335,191,1,185
0.0,52883,0.0,53,udp,INT,0.06457686424255371,74,104,128,124,0,0,dns,1145.9212346089237,1610.483897288217,1,1,0,0,0,0,74.0,104.0,0,0,0.0,0.0,1777313843.993524,1777313844.058101,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,2,2,335,191,1,2
0.0,57901,0.0,443,tcp,ACC,30.32406711578369,901,3650,128,47,0,0,https,29.71237323014066,120.36643983353319,8,8,515,67,2941103698,3094386198,112.625,456.25,0,0,10.46697880052237,10.49346545254046,1777313844.059718,1777313874.383785,4.3320095879690985,4.322078296116421,0.0694742202758789,30.323936223983765,0.0694742202758789,0,262,0,0,0,139,3,3,335,139,1,3
0.0,55340,0.0,53,udp,INT,0.013234138488769531,70,86,128,124,0,0,dns,5289.350724219932,6498.345175470203,1,1,0,0,0,0,70.0,86.0,0,0,0.0,0.0,1777313844.359917,1777313844.373151,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,185,185,335,191,1,185
