feature,feature_type,drift_score,risk_score,severity,importance,ks_stat,ks_pvalue,js_divergence,chi2_stat,chi2_pvalue,psi,unseen_rate,baseline_mean,live_mean,baseline_unique,live_unique,alert,note,status
dwin,numeric,0.2811924283606675,0.14156864182980555,low,0.00691645685583353,0.07441269841269842,0.04977396823355358,0.0201436967799781,0.0,1.0,0.37970222534341774,0.0,159.12,159.3968253968254,2,18,False,,low
state_fin,numeric,0.2775000717066605,0.13875003585333026,low,0.0,0.6127089947089948,2.1477401915309215e-117,0.0,0.0,1.0,0.0,0.0,0.618,0.005291005291005291,2,2,False,,low
service_dns,numeric,0.13302474892616156,0.07018658577351666,stable,0.055241018533706665,0.2828910052910053,1.0622751701504037e-23,0.0,0.0,1.0,0.0,0.0,0.2224,0.5052910052910053,2,2,False,,stable
stcpb,numeric,0.10101676927654867,0.05055069448481319,stable,0.0008376796613447368,0.06526984126984127,0.11603270572850931,0.012663432263205857,0.0,1.0,0.07067426190409475,0.0,0.010765580961648901,-0.09144475428709055,1524,266,False,,stable
proto,numeric,0.07450661220733175,0.03767387885301783,stable,0.011289541609585285,0.07637671957671957,0.04090447682449703,0.005860981453257355,0.0,1.0,0.044570581813714205,0.0,1.5101119778208523,1.5228620344086923,25,2,False,,stable
service_http,numeric,0.05928702297587749,0.0298823045113859,stable,0.00805549044162035,0.11846349206349206,0.00017859424951374725,0.0,0.0,1.0,0.0,0.0,0.1264,0.007936507936507936,2,2,False,,stable
trans_depth,numeric,0.05941327993026066,0.02975634370565426,stable,0.0016731525538489223,0.1176,0.00020443973013528608,0.0,0.0,1.0,0.0,0.0,0.1176,0.0,2,1,False,,stable
state_con,numeric,0.055902145318075996,0.027951072659037998,stable,0.0,0.1096,0.0006820893992466745,0.0,0.0,1.0,0.0,0.0,0.1096,0.0,2,1,False,,stable
dtcpb,numeric,0.04373237541636792,0.021884381601838934,stable,0.000832056044600904,0.049013756613756614,0.39510047982689744,0.004290113089819396,0.0,1.0,0.023837764310061522,0.0,0.005020595994444068,-0.03275431790710371,1512,255,False,,stable
res_bdy_len,numeric,0.0370465740623096,0.018575207751523475,stable,0.0028029971290379763,0.076,0.04249178743293259,0.0,0.0,1.0,0.0,0.0,245.5318440000017,0.0,91,1,False,,stable
service_smtp,numeric,0.026508339216595636,0.013387421211874669,stable,0.010053561069071293,0.0448,0.5089439175873751,0.0,0.0,1.0,0.0,0.0,0.0448,0.0,2,1,False,,stable
service_ftp-data,numeric,0.02088553973584098,0.010534599651163863,stable,0.008793623186647892,0.0332,0.8485582212922228,0.0,0.0,1.0,0.0,0.0,0.0332,0.0,2,1,False,,stable
service_ftp,numeric,0.015825683525079993,0.007944888407723848,stable,0.004049954004585743,0.0232,0.9925672450307824,0.0,0.0,1.0,0.0,0.0,0.0232,0.0,2,1,False,,stable
service_pop3,numeric,0.007791190755020071,0.0039119445765886,stable,0.004196842201054096,0.0088,1.0,0.0,0.0,1.0,0.0,0.0,0.0088,0.0,2,1,False,,stable
state_rst,numeric,0.007407407407407407,0.0037037037037037034,stable,0.0,0.021164021164021163,0.997806265107556,0.0,0.0,1.0,0.0,0.0,0.0,0.021164021164021163,1,2,False,,stable
service_ssh,numeric,0.007035557724851875,0.0035201755718761545,stable,0.0006813132786192,0.0076,1.0,0.0,0.0,1.0,0.0,0.0,0.0076,0.0,2,1,False,,stable
ct_ftp_cmd,numeric,0.006917228263893474,0.003481963904153362,stable,0.0067511931993067265,0.010154497354497355,0.9999999999999392,0.0,0.0,1.0,0.0,0.0,0.0132,0.005291005291005291,3,2,False,,stable
state_int,numeric,0.005193330194822269,0.0025966650974111345,stable,0.0,0.011223280423280423,0.9999999999825466,0.0,0.0,1.0,0.0,0.0,0.2692,0.2804232804232804,2,2,False,,stable
state_req,numeric,0.0039529634481898545,0.0019764817240949272,stable,0.0,0.0032,1.0,0.0,0.0,1.0,0.0,0.0,0.0032,0.0,2,1,False,,stable
service_snmp,numeric,0.0029383073550790268,0.0014772214183480584,stable,0.00549142062664032,0.002,1.0,0.0,0.0,1.0,0.0,0.0,0.002,0.0,2,1,False,,stable
service_ssl,numeric,0.0011402000100000013,0.0005716646186140543,stable,0.0027444546576589346,0.0004,1.0,0.0,0.0,1.0,0.0,0.0,0.0004,0.0,2,1,False,,stable
service_dhcp,numeric,0.0,0.0,stable,0.0029619287233799696,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
service_irc,numeric,0.0,0.0,stable,0.0019150848966091871,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
service_radius,numeric,0.0,0.0,stable,0.0012562260963022709,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
state_clo,numeric,0.0,0.0,stable,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
state_eco,numeric,0.0,0.0,stable,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
state_urh,numeric,0.0,0.0,stable,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,False,,stable
