Model,Accuracy,F1 (macro),F1 (weighted),Prec (macro),Rec (macro)
Random Forest,0.9409955954458572,0.8806283298414374,0.9415726473756325,0.8771241324106717,0.8847509433412153
XGBoost,0.9443197872517244,0.8810699142826625,0.9438896430709212,0.883947528043381,0.8792687015543041
